Style,Yarn,Percentage,This Week,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Later,Total
C1B4313A/2RECO,18929,0.6,30.8,30.8,28.4,,,,,,,,90.0
C1B4313A/2RECO,18961,11.4,585.0,585.0,540.0,,,,,,,,"1,710.0"
C1B4338A/1L,18673,13.5,84.0,,,,,,,,,,84.0
C1B4338A/1L,18763,33.2,206.5,,,,,,,,,,206.5
C1B4338A/1L,18773,47.4,294.8,,,,,,,,,,294.8
C1B4338A/1L,18865,5.3,33.0,,,,,,,,,,33.0
C1B4338A/1L,18929,0.6,3.7,,,,,,,,,,3.7
C1B4384A/4,12150,8.87,2.1,,,,,,,,,,2.1
C1B4384A/4,18372,60.31,14.5,,,,,,,,,,14.5
C1B4384A/4,18644,30.81,7.4,,,,,,,,,,7.4
C1B4545A/1D,11967,9.8,319.0,138.8,,,,,,,,,457.8
C1B4545A/1D,18794,54.9,"1,786.8",777.6,,,,,,,,,"2,564.4"
C1B4545A/1D,18829,4.3,139.9,60.9,,,,,,,,,200.9
C1B4545A/1D,19060,25.8,839.7,365.4,,,,,,,,,"1,205.1"
C1B4571A/1A,12150,3.9,293.3,293.3,293.3,293.3,197.6,146.6,4.4,,,,"1,521.8"
C1B4571A/1A,18646,7.4,556.5,556.5,556.5,556.5,375.0,278.2,8.4,,,,"2,887.5"
C1B4571A/1A,18712,8,601.6,601.6,601.6,601.6,405.4,300.8,9.0,,,,"3,121.6"
C1B4571A/1A,18763,35.3,"2,654.6","2,654.6","2,654.6","2,654.6","1,788.8","1,327.3",39.8,,,,"13,774.2"
C1B4571A/1A,18929,0.7,52.6,52.6,52.6,52.6,35.5,26.3,0.8,,,,273.1
C1B4571A/1A,18954,6.9,518.9,518.9,518.9,518.9,349.7,259.4,7.8,,,,"2,692.4"
C1B4571A/1A,19004,37.8,"2,842.5","2,842.5","2,842.5","2,842.5","1,915.5","1,421.3",42.7,,,,"14,749.7"
C1B4612A/1N,12526,8.1,161.4,,,,,,,,,,161.4
C1B4612A/1N,18452,46.2,920.8,,,,,,,,,,920.8
C1B4612A/1N,18673,23.7,472.3,,,,,,,,,,472.3
C1B4612A/1N,19049,22,438.5,,,,,,,,,,438.5
C1B4613A/1,12526,15.9,447.8,347.2,,,,,,,,,795.0
C1B4613A/1,18233,19.7,554.8,430.2,,,,,,,,,985.0
C1B4613A/1,18372,22.4,630.9,489.1,,,,,,,,,"1,120.0"
C1B4613A/1,18452,42,"1,182.9",917.1,,,,,,,,,"2,100.0"
C1B4632A/1,12526,27.3,,,,,,,,,,,0.0
C1B4632A/1,18233,18.1,,,,,,,,,,,0.0
C1B4632A/1,18372,17.4,,,,,,,,,,,0.0
C1B4632A/1,18452,37.2,,,,,,,,,,,0.0
C1B4634A/1,12526,30.13,6.0,,,,,,,,,,6.0
C1B4634A/1,18233,19.87,4.0,,,,,,,,,,4.0
C1B4634A/1,18452,41.03,8.2,,,,,,,,,,8.2
C1B4634A/1,18865,8.97,1.8,,,,,,,,,,1.8
C1B4637A/1,18233,12.81,4.5,,,,,,,,,,4.5
C1B4637A/1,18376,31.26,10.9,,,,,,,,,,10.9
C1B4637A/1,18414,30.09,10.5,,,,,,,,,,10.5
C1B4637A/1,18763,20.06,7.0,,,,,,,,,,7.0
C1B4637A/1,18865,5.78,2.0,,,,,,,,,,2.0
C1B4639A/1,18726,53.1,,,,,,,,,,,0.0
C1B4639A/1,18861,24.5,,,,,,,,,,,0.0
C1B4639A/1,19019,22.4,,,,,,,,,,,0.0
C1B4654AA/1,18575,27.9,70.9,,,,,,,,,,70.9
C1B4654AA/1,18576,42.7,108.5,,,,,,,,,,108.5
C1B4654AA/1,18826,28.1,71.4,,,,,,,,,,71.4
C1B4654AA/1,18929,1.3,3.3,,,,,,,,,,3.3
C1B4654AA/12S,18575,27.9,"2,674.9","2,674.9","2,674.9","1,485.3",,,,,,,"9,509.9"
C1B4654AA/12S,18576,42.7,"4,093.8","4,093.8","4,093.8","2,273.1",,,,,,,"14,554.6"
C1B4654AA/12S,18929,1.3,124.6,124.6,124.6,69.2,,,,,,,443.1
C1B4654AA/12S,19050,28.1,"2,694.1","2,694.1","2,694.1","1,495.9",,,,,,,"9,578.1"
C1B4679A/1,18454,14.92,4.5,,,,,,,,,,4.5
C1B4679A/1,18569,15.55,4.7,,,,,,,,,,4.7
C1B4679A/1,18576,54.61,16.4,,,,,,,,,,16.4
C1B4679A/1,18819,14.92,4.5,,,,,,,,,,4.5
C2B3237/3B,18086,17.3,73.5,,,,,,,,,,73.5
C2B3237/3B,18229,6.4,27.2,,,,,,,,,,27.2
C2B3237/3B,18414,48,204.0,,,,,,,,,,204.0
C2B3237/3B,18646,27.7,117.7,,,,,,,,,,117.7
C2B3237/3B,18929,0.6,2.6,,,,,,,,,,2.6
C5T4522A/1D,11759,10.4,3.6,,,,,,,,,,3.6
C5T4522A/1D,18376,22.4,7.8,,,,,,,,,,7.8
C5T4522A/1D,18763,28.8,10.1,,,,,,,,,,10.1
C5T4522A/1D,18873,27.1,9.5,,,,,,,,,,9.5
C5T4522A/1D,18896,10.4,3.6,,,,,,,,,,3.6
C5T4522A/1D,18929,0.9,0.3,,,,,,,,,,0.3
C718/0,18982,78.3,"2,420.4","2,420.4","2,420.4","2,420.4","2,420.4","2,122.6",,,,,"14,224.8"
C718/0,18983,21.7,670.8,670.8,670.8,670.8,670.8,588.3,,,,,"3,942.2"
CEE4078/2,12526,11.6,213.6,30.4,,,,,,,,,244.0
CEE4078/2,18208,10.1,186.0,26.5,,,,,,,,,212.4
CEE4078/2,18594,38.5,708.9,100.9,,,,,,,,,809.8
CEE4078/2,18646,10.7,197.0,28.0,,,,,,,,,225.1
CEE4078/2,18763,23.1,425.3,60.5,,,,,,,,,485.9
CEE4078/2,18865,5.3,97.6,13.9,,,,,,,,,111.5
CEE4078/2,18929,0.7,12.9,1.8,,,,,,,,,14.7
CEE4317A/1L,18164,11.2,218.1,61.9,,,,,,,,,280.0
CEE4317A/1L,18376,13.2,257.1,72.9,,,,,,,,,330.0
CEE4317A/1L,18598,11.2,218.1,61.9,,,,,,,,,280.0
CEE4317A/1L,18646,11.2,218.1,61.9,,,,,,,,,280.0
CEE4317A/1L,18763,52.4,"1,020.6",289.4,,,,,,,,,"1,310.0"
CEE4317A/1L,18929,0.8,15.6,4.4,,,,,,,,,20.0
CEE4638A/1,12047,16.3,266.6,266.6,266.6,0.7,,,,,,,800.5
CEE4638A/1,12526,37.6,614.9,614.9,614.9,1.7,,,,,,,"1,846.5"
CEE4638A/1,18553,20.7,338.5,338.5,338.5,0.9,,,,,,,"1,016.6"
CEE4638A/1,18646,8.2,134.1,134.1,134.1,0.4,,,,,,,402.7
CEE4638A/1,18679,12.1,197.9,197.9,197.9,0.5,,,,,,,594.2
CEE4638A/1,18929,1.3,21.3,21.3,21.3,0.1,,,,,,,63.8
CEE4638A/1,18966,3.8,62.1,62.1,62.1,0.2,,,,,,,186.6
CEE4674A/1,18376,5.98,16.7,,,,,,,,,,16.7
CEE4674A/1,18594,10.13,28.4,,,,,,,,,,28.4
CEE4674A/1,18646,10.13,28.4,,,,,,,,,,28.4
CEE4674A/1,18725,16.07,45.0,,,,,,,,,,45.0
CEE4674A/1,18763,46.75,130.9,,,,,,,,,,130.9
CEE4674A/1,18894,10.13,28.4,,,,,,,,,,28.4
CEE4674A/1,18929,0.81,2.3,,,,,,,,,,2.3
CEE4677A/1,18376,6.61,2.6,,,,,,,,,,2.6
CEE4677A/1,18690,11.2,4.5,,,,,,,,,,4.5
CEE4677A/1,18725,11.2,4.5,,,,,,,,,,4.5
CEE4677A/1,18763,50.61,20.2,,,,,,,,,,20.2
CEE4677A/1,18865,8.29,3.3,,,,,,,,,,3.3
CEE4677A/1,18894,11.2,4.5,,,,,,,,,,4.5
CEE4677A/1,18929,0.9,0.4,,,,,,,,,,0.4
CEE4681A/1,18569,4.36,2.8,,,,,,,,,,2.8
CEE4681A/1,18937,31.39,20.4,,,,,,,,,,20.4
